!;Syntax:  NOT, \style{+B}!\style{-B}Logical NOT.;
!=;Syntax:  <>, \style{+B}!=\style{-B}Not equal:URL: http://dev.;
%;Syntax:  N \style{+B}%\style{-B} MModulo operation.;
&;Syntax:  \style{+B}&\style{-B}Bitwise AND:URL: http://dev.;
SHOW TABLE STATUS;Syntax:  \style{+B}SHOW TABLE STATUS\style{-B} [FROM db_name]    [LIKE 'pattern' | WHERE expr]\style{+B}SHOW TABLE STATUS\style{-B} works likes SHOW TABLES, but provides a lot ofinformation about each non-TEMPORARY table.;
SHOW TABLES;Syntax:  SHOW [FULL] TABLES [FROM db_name]    [LIKE 'pattern' | WHERE expr]\style{+B}SHOW TABLES\style{-B} lists the non-TEMPORARY tables in a given database.;
SHOW TRIGGERS;Syntax:  \style{+B}SHOW TRIGGERS\style{-B} [FROM db_name]    [LIKE 'pattern' | WHERE expr]\style{+B}SHOW TRIGGERS\style{-B} lists the triggers currently defined for tables in adatabase (the default database unless a FROM clause is given).;
SHOW VARIABLES;Syntax:  SHOW [GLOBAL | SESSION] VARIABLES    [LIKE 'pattern' | WHERE expr]\style{+B}SHOW VARIABLES\style{-B} shows the values of MySQL system variables.;
SHOW WARNINGS;Syntax:  \style{+B}SHOW WARNINGS\style{-B} [LIMIT [offset,] row_count]SHOW COUNT(*) WARNINGS\style{+B}SHOW WARNINGS\style{-B} shows the error, warning, and note messages that resultedfrom the last statement that generated messages.;
SIGN;Syntax:  \style{+B}SIGN\style{-B}(X)Returns the sign of the argument as -1, 0, or 1, depending on whether Xis negative, zero, or positive.;
SIN;Syntax:  \style{+B}SIN\style{-B}(X)Returns the sine of X, where X is given in radians.;
SLEEP;Syntax:  \style{+B}SLEEP\style{-B}(duration)Sleeps (pauses) for the number of seconds given by the durationargument, then returns 0.;
SMALLINT;\style{+B}SMALLINT\style{-B}[(M)] [UNSIGNED] [ZEROFILL]A small integer.;
SOUNDEX;Syntax:  \style{+B}SOUNDEX\style{-B}(str)Returns a soundex string from str.;
SOUNDS LIKE;Syntax:  expr1 \style{+B}SOUNDS LIKE\style{-B} expr2This is the same as SOUNDEX(expr1) = SOUNDEX(expr2).;
SPACE;Syntax:  \style{+B}SPACE\style{-B}(N)Returns a string consisting of N space characters.;
SPATIAL;MySQL can create spatial indexes using syntax similar to that forcreating regular indexes, but extended with the \style{+B}SPATIAL\style{-B} keyword.;
SQRT;Syntax:  \style{+B}SQRT\style{-B}(X)Returns the square root of a non-negative number X.;
SRID;\style{+B}SRID\style{-B}(g)Returns an integer indicating the Spatial Reference System ID for thegeometry value g.;
START SLAVE;Syntax:  \style{+B}START SLAVE\style{-B} [thread_type [, thread_type] .;
START TRANSACTION;Syntax:  \style{+B}START TRANSACTION\style{-B} [WITH CONSISTENT SNAPSHOT] | BEGIN [WORK]COMMIT [WORK] [AND [NO] CHAIN] [[NO] RELEASE]ROLLBACK [WORK] [AND [NO] CHAIN] [[NO] RELEASE]SET AUTOCOMMIT = {0 | 1}The \style{+B}START TRANSACTION\style{-B} or BEGIN statement begins a new transaction.;
STARTPOINT;StartPoint(ls)Returns the Point that is the start point of the LineString value ls.;
STD;Syntax:  \style{+B}STD\style{-B}(expr)Returns the population standard deviation of expr.;
STDDEV;Syntax:  \style{+B}STDDEV\style{-B}(expr)Returns the population standard deviation of expr.;
STDDEV_POP;Syntax:  \style{+B}STDDEV_POP\style{-B}(expr)Returns the population standard deviation of expr (the square root ofVAR_POP()).;
STDDEV_SAMP;Syntax:  \style{+B}STDDEV_SAMP\style{-B}(expr)Returns the sample standard deviation of expr (the square root ofVAR_SAMP().;
STOP SLAVE;Syntax:  \style{+B}STOP SLAVE\style{-B} [thread_type [, thread_type] .;
STRCMP;Syntax:  \style{+B}STRCMP\style{-B}(expr1,expr2)\style{+B}STRCMP\style{-B}() returns 0 if the strings are the same, -1 if the firstargument is smaller than the second according to the current sortorder, and 1 otherwise.;
STR_TO_DATE;Syntax:  \style{+B}STR_TO_DATE\style{-B}(str,format)This is the inverse of the DATE_FORMAT() function.;
SUBDATE;Syntax:  \style{+B}SUBDATE\style{-B}(date,INTERVAL expr unit), \style{+B}SUBDATE\style{-B}(expr,days)When invoked with the INTERVAL form of the second argument, \style{+B}SUBDATE\style{-B}()is a synonym for DATE_SUB().;
SUBSTR;Syntax:  \style{+B}SUBSTR\style{-B}(str,pos), \style{+B}SUBSTR\style{-B}(str FROM pos), \style{+B}SUBSTR\style{-B}(str,pos,len), \style{+B}SUBSTR\style{-B}(strFROM pos FOR len)\style{+B}SUBSTR\style{-B}() is a synonym for \style{+B}SUBSTR\style{-B}ING().;
SUBSTRING;Syntax:  \style{+B}SUBSTRING\style{-B}(str,pos), \style{+B}SUBSTRING\style{-B}(str FROM pos), \style{+B}SUBSTRING\style{-B}(str,pos,len),\style{+B}SUBSTRING\style{-B}(str FROM pos FOR len)The forms without a len argument return a substring from string strstarting at position pos.;
SUBSTRING_INDEX;Syntax:  \style{+B}SUBSTRING_INDEX\style{-B}(str,delim,count)Returns the substring from string str before count occurrences of thedelimiter delim.;
SUBTIME;Syntax:  \style{+B}SUBTIME\style{-B}(expr1,expr2)\style{+B}SUBTIME\style{-B}() returns expr1 - expr2 expressed as a value in the same formatas expr1.;
SUM;Syntax:  \style{+B}SUM\style{-B}([DISTINCT] expr)Returns the sum of expr.;
SYSDATE;Syntax:  \style{+B}SYSDATE\style{-B}()Returns the current date and time as a value in 'YYYY-MM-DD HH:MM:SS'or YYYYMMDDHHMMSS.;
SYSTEM_USER;Syntax:  \style{+B}SYSTEM_USER\style{-B}()\style{+B}SYSTEM_USER\style{-B}() is a synonym for USER().;
TAN;Syntax:  \style{+B}TAN\style{-B}(X)Returns the tangent of X, where X is given in radians.;
TEXT;\style{+B}TEXT\style{-B}[(M)] [CHARACTER SET charset_name] [COLLATE collation_name]A \style{+B}TEXT\style{-B} column with a maximum length of 65,535 (216 - 1) characters.;
TIME;\style{+B}TIME\style{-B}A time.;
TIME FUNCTION;Syntax:  TIME(expr)Extracts the time part of the time or datetime expression expr andreturns it as a string.;
TIMEDIFF;Syntax:  \style{+B}TIMEDIFF\style{-B}(expr1,expr2)\style{+B}TIMEDIFF\style{-B}() returns expr1 - expr2 expressed as a time value.;
TIMESTAMP;\style{+B}TIMESTAMP\style{-B}A timestamp.;
TIMESTAMP FUNCTION;Syntax:  TIMESTAMP(expr), TIMESTAMP(expr1,expr2)With a single argument, this function returns the date or datetimeexpression expr as a datetime value.;
TIMESTAMPADD;Syntax:  \style{+B}TIMESTAMPADD\style{-B}(unit,interval,datetime_expr)Adds the integer expression interval to the date or datetime expressiondatetime_expr.;
TIMESTAMPDIFF;Syntax:  \style{+B}TIMESTAMPDIFF\style{-B}(unit,datetime_expr1,datetime_expr2)Returns datetime_expr2 - datetime_expr1, where datetime_expr1 anddatetime_expr2 are date or datetime expressions.;
TIME_FORMAT;Syntax:  \style{+B}TIME_FORMAT\style{-B}(time,format)This is used like the DATE_FORMAT() function, but the format string maycontain format specifiers only for hours, minutes, and seconds.;
TIME_TO_SEC;Syntax:  \style{+B}TIME_TO_SEC\style{-B}(time)Returns the time argument, converted to seconds.;
TINYBLOB;\style{+B}TINYBLOB\style{-B}A BLOB column with a maximum length of 255 (28 - 1) bytes.;
TINYINT;\style{+B}TINYINT\style{-B}[(M)] [UNSIGNED] [ZEROFILL]A very small integer.;
TINYTEXT;\style{+B}TINYTEXT\style{-B} [CHARACTER SET charset_name] [COLLATE collation_name]A TEXT column with a maximum length of 255 (28 - 1) characters.;
TOUCHES;Touches(g1,g2)Returns 1 or 0 to indicate whether g1 spatially touches g2.;
TO_DAYS;Syntax:  \style{+B}TO_DAYS\style{-B}(date)Given a date date, returns a day number (the number of days since year0).;
TRIM;Syntax:  \style{+B}TRIM\style{-B}([{BOTH | LEADING | TRAILING} [remstr] FROM] str), \style{+B}TRIM\style{-B}([remstrFROM] str)Returns the string str with all remstr prefixes or suffixes removed.;
TRUE FALSE;The constants TRUE and FALSE evaluate to 1 and 0, respectively.;
TRUNCATE;Syntax:  \style{+B}TRUNCATE\style{-B}(X,D)Returns the number X, truncated to D decimal places.;
TRUNCATE TABLE;Syntax:  TRUNCATE [TABLE] tbl_name\style{+B}TRUNCATE TABLE\style{-B} empties a table completely.;
UCASE;Syntax:  \style{+B}UCASE\style{-B}(str)\style{+B}UCASE\style{-B}() is a synonym for UPPER().;
UNCOMPRESS;Syntax:  \style{+B}UNCOMPRESS\style{-B}(string_to_uncompress)Uncompresses a string compressed by the COMPRESS() function.;
UNCOMPRESSED_LENGTH;Syntax:  \style{+B}UNCOMPRESSED_LENGTH\style{-B}(compressed_string)Returns the length that the compressed string had before beingcompressed.;
UNHEX;Syntax:  \style{+B}UNHEX\style{-B}(str)Performs the inverse operation of HEX(str).;
UNINSTALL PLUGIN;Syntax:  \style{+B}UNINSTALL PLUGIN\style{-B} plugin_nameThis statement removes an installed plugin.;
UNION;Syntax:  SELECT .;
UNIX_TIMESTAMP;Syntax:  \style{+B}UNIX_TIMESTAMP\style{-B}(), \style{+B}UNIX_TIMESTAMP\style{-B}(date)If called with no argument, returns a Unix timestamp (seconds since'1970-01-01 00:00:00' UTC) as an unsigned integer.;
UPDATE;Syntax:  Single-table syntax:\style{+B}UPDATE\style{-B} [LOW_PRIORITY] [IGNORE] tbl_name    SET col_name1={expr1|DEFAULT} [, col_name2={expr2|DEFAULT}] .;
UPDATEXML;Syntax:  UpdateXML(xml_target, xpath_expr, new_xml)This function replaces a single portion of a given fragment of XMLmarkup xml_target with a new XML fragment new_xml, and then returns thechanged XML.;
UPPER;Syntax:  \style{+B}UPPER\style{-B}(str)Returns the string str with all characters changed to uppercaseaccording to the current character set mapping.;
USE;Syntax:  \style{+B}USE\style{-B} db_nameThe \style{+B}USE\style{-B} db_name statement tells MySQL to use the db_name database asthe default (current) database for subsequent statements.;
USER;Syntax:  \style{+B}USER\style{-B}()Returns the current MySQL username and hostname as a string in the utf8character set.;
UTC_DATE;Syntax:  \style{+B}UTC_DATE\style{-B}, \style{+B}UTC_DATE\style{-B}()Returns the current UTC date as a value in 'YYYY-MM-DD' or YYYYMMDDformat, depending on whether the function is used in a string ornumeric context.;
UTC_TIME;Syntax:  \style{+B}UTC_TIME\style{-B}, \style{+B}UTC_TIME\style{-B}()Returns the current UTC time as a value in 'HH:MM:SS' or HHMMSS.;
UTC_TIMESTAMP;Syntax:  \style{+B}UTC_TIMESTAMP\style{-B}, \style{+B}UTC_TIMESTAMP\style{-B}()Returns the current UTC date and time as a value in 'YYYY-MM-DDHH:MM:SS' or YYYYMMDDHHMMSS.;
UUID;Syntax:  \style{+B}UUID\style{-B}()Returns a Universal Unique Identifier (\style{+B}UUID\style{-B}) generated according to"DCE 1.;
UUID_SHORT;Syntax:  \style{+B}UUID_SHORT\style{-B}()Returns a "short" universal identifier as a 64-bit unsigned integer(rather than a string-form 128-bit identifier as returned by the UUID()function).;
VALUES;Syntax:  \style{+B}VALUES\style{-B}(col_name)In an INSERT .;
VARBINARY;\style{+B}VARBINARY\style{-B}(M)The \style{+B}VARBINARY\style{-B} type is similar to the VARCHAR type, but stores binarybyte strings rather than non-binary character strings.;
VARCHAR;[NATIONAL] \style{+B}VARCHAR\style{-B}(M) [CHARACTER SET charset_name] [COLLATEcollation_name]A variable-length string.;
VARIANCE;Syntax:  \style{+B}VARIANCE\style{-B}(expr)Returns the population standard variance of expr.;
VAR_POP;Syntax:  \style{+B}VAR_POP\style{-B}(expr)Returns the population standard variance of expr.;
VAR_SAMP;Syntax:  \style{+B}VAR_SAMP\style{-B}(expr)Returns the sample variance of expr.;
VERSION;Syntax:  \style{+B}VERSION\style{-B}()Returns a string that indicates the MySQL server version.;
WEEK;Syntax:  \style{+B}WEEK\style{-B}(date[,mode])This function returns the week number for date.;
WEEKDAY;Syntax:  \style{+B}WEEKDAY\style{-B}(date)Returns the weekday index for date (0 = Monday, 1 = Tuesday, .;
WEEKOFYEAR;Syntax:  \style{+B}WEEKOFYEAR\style{-B}(date)Returns the calendar week of the date as a number in the range from 1to 53.;
WHILE;Syntax:  [begin_label:] \style{+B}WHILE\style{-B} search_condition DO    statement_listEND \style{+B}WHILE\style{-B} [end_label]The statement list within a \style{+B}WHILE\style{-B} statement is repeated as long as thesearch_condition is true.;
WITHIN;Within(g1,g2)Returns 1 or 0 to indicate whether g1 is spatially within g2.;
WKT DEFINITION;The Well-Known Text (WKT) representation of Geometry is designed toexchange geometry data in ASCII form.;
X;\style{+B}X\style{-B}(p)Returns the \style{+B}X\style{-B}-coordinate value for the point p as a double-precisionnumber.;
XOR;Syntax:  \style{+B}XOR\style{-B}Logical \style{+B}XOR\style{-B}.;
Y;\style{+B}Y\style{-B}(p)Returns the \style{+B}Y\style{-B}-coordinate value for the point p as a double-precisionnumber.;
YEAR;Syntax:  \style{+B}YEAR\style{-B}(date)Returns the year for date, in the range 1000 to 9999, or 0 for the"zero" date.;
YEAR DATA TYPE;YEAR[(2|4)]A year in two-digit or four-digit format.;
YEARWEEK;Syntax:  \style{+B}YEARWEEK\style{-B}(date), \style{+B}YEARWEEK\style{-B}(date,mode)Returns year and week for a date.;
^;Syntax:  \style{+B}^\style{-B}Bitwise XOR:URL: http://dev.;
|;Syntax:  \style{+B}|\style{-B}Bitwise OR:URL: http://dev.;
||;Syntax:  OR, \style{+B}||\style{-B}Logical OR.;
~;Syntax:  \style{+B}~\style{-B}Invert all bits.;
